reg      counts    pixels
 1      -77.309        32
 2     -180.514        88
 3     -252.443       156
 4     -309.481       216
 5     -279.028       280
 6     -253.085       344
 7     -261.639       396
 8     -200.674       464
 9     -162.659       520
10     -114.945       592
11      -84.308       632
12      -22.758       740
13       44.388       768
14      -35.350       832
15       -5.434       896
16      -13.044       944
17      -15.259      1020
18      -68.689      1072
19      -66.325      1168
20       45.143      1208
