  radius       counts      area       error
  3.1365      -77.309        32     0.00001
  9.5746     -180.514        88     0.00001
 16.0127     -252.443       156     0.00001
 22.4507     -309.481       216     0.00001
 28.8888     -279.028       280     0.00001
 35.3269     -253.085       344     0.00001
 41.7650     -261.639       396     0.00001
 48.2031     -200.674       464     0.00001
 54.6411     -162.659       520     0.00001
 61.0792     -114.945       592     0.00001
 67.5173      -84.308       632     0.00001
 73.9554      -22.758       740     0.00001
 80.3934       44.388       768     0.00001
 86.8315      -35.350       832     0.00001
 93.2696       -5.434       896     0.00001
 99.7077      -13.044       944     0.00001
106.1458      -15.259      1020     0.00001
112.5838      -68.689      1072     0.00001
119.0219      -66.325      1168     0.00001
125.4600       45.143      1208     0.00001
#####################################
NOTE: fake errors
