#    tmpid      tmpra     tmpdec    tmpreds    tmpM500  tmptexpks       tmptel
#
SPT-CLJ0051-4834 12.7905 -48.5776 0.187 5.4e+14 0.0 0 
SPT-CLJ0124-5937 21.1988 -59.6255 0.210 4.2e+14 0.0 0 
SPT-CLJ0133-6434 23.4103 -64.5668 0.290 6.1e+14 57.3 1 
SPT-CLJ0145-5301 26.2645 -53.0295 0.117 5.3e+14 227.3 1 
SPT-CLJ0145-6033 26.2958 -60.5594 0.180 7.1e+14 0.0 0 
SPT-CLJ0214-4638 33.7017 -46.6483 0.270 4.5e+14 0.0 0 
SPT-CLJ0225-4155 36.4770 -41.9177 0.219 4.8e+14 46.9 1 
SPT-CLJ0232-4421 38.0701 -44.3541 0.284 1.2e+15 40.9 1 
SPT-CLJ0235-5121 38.9468 -51.3516 0.278 6.4e+14 20.1 2 
SPT-CLJ0256-4736 44.2405 -47.6110 0.230 4.9e+14 0.0 0 
SPT-CLJ0311-6354 47.8289 -63.9073 0.250 4.8e+14 0.0 0 
SPT-CLJ0328-5541 52.1675 -55.6957 0.084 5.1e+14 98.3 1 
SPT-CLJ0411-6340 62.8597 -63.6804 0.140 4.5e+14 0.0 0 
SPT-CLJ0500-5116 75.2425 -51.2709 0.110 4.2e+14 0.0 0 
SPT-CLJ0504-4929 76.0069 -49.4854 0.200 4.0e+14 0.0 0 
SPT-CLJ0505-6145 76.3966 -61.7505 0.250 4.8e+14 0.0 0 
SPT-CLJ0510-4519 77.5805 -45.3270 0.200 6.8e+14 47.7 1 
SPT-CLJ0516-5430 79.1513 -54.5108 0.295 7.1e+14 200.4 1 
SPT-CLJ0525-4715 81.4555 -47.2556 0.191 7.2e+14 68.7 1 
SPT-CLJ0537-6504 84.3548 -65.0695 0.200 7.0e+14 0.0 0 
SPT-CLJ0628-4143 97.2049 -41.7250 0.176 8.7e+14 41.0 1 
SPT-CLJ0637-4829 99.3467 -48.4877 0.203 6.8e+14 65.1 1 
SPT-CLJ0638-5358 99.6978 -53.9749 0.226 1.2e+15 146.2 1 
SPT-CLJ0645-5413 101.3735 -54.2214 0.164 1.1e+15 190.6 1 
SPT-CLJ0651-4037 102.8193 -40.6273 0.270 4.7e+14 0.0 0 
SPT-CLJ0653-5744 103.3316 -57.7490 0.240 5.4e+14 0.0 0 
SPT-CLJ0658-5556 104.6317 -55.9465 0.296 1.7e+15 584.2 2 
SPT-CLJ2012-4130 303.0008 -41.5011 0.150 4.2e+14 0.0 0 
SPT-CLJ2023-5535 305.8376 -55.5906 0.232 7.9e+14 60.9 1 
SPT-CLJ2025-5117 306.4836 -51.2901 0.220 6.5e+14 0.0 0 
SPT-CLJ2032-5627 308.0807 -56.4580 0.284 5.5e+14 94.7 1 
SPT-CLJ2055-5456 313.9957 -54.9368 0.139 4.8e+14 0.0 0 
SPT-CLJ2134-4238 323.5020 -42.6438 0.195 6.0e+14 0.0 0 
SPT-CLJ2201-5956 330.4734 -59.9437 0.097 9.6e+14 76.3 1 
SPT-CLJ2211-4833 332.8260 -48.5603 0.240 5.2e+14 0.0 0 
SPT-CLJ2217-6509 334.4895 -65.1506 0.095 5.0e+14 44.2 1 
SPT-CLJ2249-6426 342.4296 -64.4342 0.094 4.4e+14 105.0 1 
SPT-CLJ2254-6314 343.5145 -63.2450 0.211 5.7e+14 0.0 0 
SPT-CLJ2254-4620 343.5880 -46.3436 0.270 5.7e+14 0.0 0 
SPT-CLJ2300-5331 345.1761 -53.5190 0.262 4.1e+14 0.0 0 
CL2015		13.966837 -9.9860036 0.055 2.3e14 0 0
a2029		227.73269 5.7448769 0.0766 8.65e14 0 0
a1795 		207.21859 26.592847 0.0622 4.63e14 0 0 
CLJ1226+3332	186.74142 33.54685698 0.89 6.00e14 0 0  # M500 from Remi Adam
CL1030		209.165   2.860      0.078 1.4e14 0 0	
a2244cen	255.67775 34.059652  0.09680 6.15e14 0 0 # from CIRS
a2244out	255.67775 34.059652  0.09680 6.15e14 0 0 # from CIRS
bgka21	        251.51485 36.641099      1 1 1 1 
bgka21bis       251.51485 36.641099      1 1 1 1 
IDCSJ1426 	216.63708 35.14111  1.75 4.63e14 0 0 
IDCSJ1426b 	216.63708 35.14111  1.75 4.63e14 0 0 
id48		220.7900 1.0509    0.529 7.3e14 0 0
a2244cen2	255.67775 34.059652  0.09680 6.15e14 0 0 # from CIRS
a2244out2	255.67775 34.059652  0.09680 6.15e14 0 0 # from CIRS
bgka21ter       251.51485 36.641099      1 1 1 1 
bgka21qua       251.51485 36.641099      1 1 1 1 
