#          r    fluxdens errfluxdens
#
	   3	   -2.27 	0.23
	 7.5	   -2.37        0.13
	  12	   -1.85	0.10
	  17 	   -1.77	0.08
	21.5	   -1.42	0.07
	  26	   -1.28	0.06
	  31       -0.95	0.06
	35.5       -0.87	0.05
	40.5       -0.54	0.05
	  45	   -0.47	0.05
	49.5	   -0.33	0.05
	54.5	  -0.195	0.05
	  59	   -0.17	0.04
	  64	  -0.115	0.04
	  69	   -0.07	0.04
	73.5	   -0.04	0.04
	  78	    0.02	0.04
	  83	   -0.01	0.04
	88.5	   -0.05	0.04
	92.5	   -0.05	0.04
	  97	    0.07	0.04
	 102	    0.01	0.04
       106.5	   -0.05	0.04
       111.5	   -0.05	0.04
	 116      -0.015	0.04
	 121	   0.005	0.04
       125.5        0.06	0.04
       130.5	   0.005	0.04
	 135	   -0.01	0.04
	 140        0.07	0.04
	 145	   -0.04	0.04
       149.5	   -0.01 	0.04

